,MSOA11CD,total_number_of_collisions_2018_2022,total_number_of_casualties_by_casualty_lsoa_2018_2022,total_number_of_casualties_by_msoa_of_accident_2018_2022,fatal_casualties_2018_2022,cyclist_casualties_2018_2022,pedestrian_casualties_2018_2022,car_occupant_casualties_2018_2022,motorcycle_casualties_2018_2022,horse_rider_casualties_2018_2022,snow_collisions_2018_2022,fog_or_mist_collisions_2018_2022,darkness_collisions_2018_2022,daylight_collisions_2018_2022,summer_collisions_2018_2022,winter_collisions_2018_2022,fatal_casualties_2018_2022_rate,cyclist_casualties_2018_2022_rate,pedestrian_casualties_2018_2022_rate,horse_rider_casualties_2018_2022_rate,car_occupant_casualties_2018_2022_rate,motorcycle_casualties_2018_2022_rate,snow_collisions_2018_2022_rate,fog_or_mist_collisions_2018_2022_rate,darkness_collisions_2018_2022_rate,daylight_collisions_2018_2022_rate,summer_collisions_2018_2022_rate,winter_collisions_2018_2022_rate,MSOA Code,All Ages,total_number_of_casualties_by_casualty_lsoa_2018_2022_per_1000_occ,fatal_casualties_2018_2022_per_1000_occ,cyclist_casualties_2018_2022_per_1000_occ,pedestrian_casualties_2018_2022_per_1000_occ,horse_rider_casualties_2018_2022_per_1000_occ,car_occupant_casualties_2018_2022_per_1000_occ,snow_collisions_2018_2022_per_1000_occ,fog_or_mist_collisions_2018_2022_per_1000_occ,darkness_collisions_2018_2022_per_1000_occ,daylight_collisions_2018_2022_per_1000_occ,summer_collisions_2018_2022_per_1000_occ,winter_collisions_2018_2022_per_1000_occ
0,E02000001,970,40,1051,4,409,291,53,184,0,6,6,314,656,281,207,0.003805899143672693,0.38915318744053284,0.2768791627021884,0.0,0.05042816365366318,0.17507136060894388,0.006185567010309278,0.006185567010309278,0.3237113402061856,0.6762886597938145,0.28969072164948456,0.2134020618556701,E02000001,10938,3.6569756811117204,0.36569756811117204,37.392576339367345,26.604498080087765,0.0,4.845492777473029,0.5485463521667581,0.5485463521667581,28.707259096727007,59.97440117023222,25.69025415980984,18.924849149753154
1,E02000002,78,86,102,0,4,7,68,14,0,4,4,30,49,21,23,0.0,0.0392156862745098,0.06862745098039216,0.0,0.6666666666666666,0.13725490196078433,0.05128205128205128,0.05128205128205128,0.38461538461538464,0.6282051282051282,0.2692307692307692,0.2948717948717949,E02000002,7726,11.131245146259385,0.0,0.5177323323841574,0.9060315816722754,0.0,8.801449650530676,0.5177323323841574,0.5177323323841574,3.8829924928811805,6.342221071705928,2.7180947450168262,2.9769609112089053
2,E02000003,218,157,275,0,13,54,151,34,0,6,6,70,149,58,52,0.0,0.04727272727272727,0.19636363636363635,0.0,0.5490909090909091,0.12363636363636364,0.027522935779816515,0.027522935779816515,0.3211009174311927,0.6834862385321101,0.26605504587155965,0.23853211009174313,E02000003,11246,13.960519295749599,0.0,1.1559665658900944,4.801707273697314,0.0,13.426996265338788,0.5335230304108127,0.5335230304108127,6.224435354792815,13.249155255201849,5.15738929397119,4.6238662635603776
3,E02000004,34,81,52,0,1,7,35,6,0,4,4,10,25,10,10,0.0,0.019230769230769232,0.1346153846153846,0.0,0.6730769230769231,0.11538461538461539,0.11764705882352941,0.11764705882352941,0.29411764705882354,0.7352941176470589,0.29411764705882354,0.29411764705882354,E02000004,6646,12.187782124586217,0.0,0.1504664459825459,1.0532651218778213,0.0,5.266325609389106,0.6018657839301836,0.6018657839301836,1.5046644598254588,3.7616611495636474,1.5046644598254588,1.5046644598254588
4,E02000005,71,131,102,0,10,12,62,8,0,5,5,19,52,21,16,0.0,0.09803921568627451,0.11764705882352941,0.0,0.6078431372549019,0.0784313725490196,0.07042253521126761,0.07042253521126761,0.2676056338028169,0.7323943661971831,0.29577464788732394,0.22535211267605634,E02000005,10540,12.428842504743832,0.0,0.9487666034155597,1.1385199240986716,0.0,5.88235294117647,0.47438330170777987,0.47438330170777987,1.8026565464895636,4.933586337760911,1.9924098671726753,1.5180265654648957
5,E02000007,103,126,133,0,15,27,60,12,0,5,5,28,75,25,26,0.0,0.11278195488721804,0.20300751879699247,0.0,0.45112781954887216,0.09022556390977443,0.04854368932038835,0.04854368932038835,0.27184466019417475,0.7281553398058253,0.24271844660194175,0.2524271844660194,E02000007,10076,12.504962286621677,0.0,1.4886859865025803,2.6796347757046446,0.0,5.954743946010321,0.4962286621675268,0.4962286621675268,2.7788805081381502,7.443429932512902,2.481143310837634,2.5803890432711394
6,E02000008,164,175,216,2,12,35,127,22,0,7,7,46,119,41,44,0.009259259259259259,0.05555555555555555,0.16203703703703703,0.0,0.5879629629629629,0.10185185185185185,0.042682926829268296,0.042682926829268296,0.2804878048780488,0.725609756097561,0.25,0.2682926829268293,E02000008,12777,13.696485873053144,0.15653126712060736,0.9391876027236441,2.7392971746106283,0.0,9.939735462158566,0.5478594349221257,0.5478594349221257,3.600219143773969,9.313610393676138,3.2088909759724507,3.4436878766533616
7,E02000009,124,177,162,1,9,34,94,10,0,6,6,34,90,36,25,0.006172839506172839,0.05555555555555555,0.20987654320987653,0.0,0.5802469135802469,0.06172839506172839,0.04838709677419355,0.04838709677419355,0.27419354838709675,0.7258064516129032,0.2903225806451613,0.20161290322580644,E02000009,11850,14.936708860759493,0.08438818565400844,0.7594936708860759,2.869198312236287,0.0,7.932489451476792,0.5063291139240507,0.5063291139240507,2.869198312236287,7.594936708860759,3.0379746835443036,2.109704641350211
8,E02000010,64,128,79,0,9,12,40,11,0,5,5,16,48,21,11,0.0,0.11392405063291139,0.1518987341772152,0.0,0.5063291139240507,0.13924050632911392,0.078125,0.078125,0.25,0.75,0.328125,0.171875,E02000010,9141,14.002844327754074,0.0,0.9845749917952085,1.3127666557269444,0.0,4.375888852423148,0.5469861065528935,0.5469861065528935,1.7503555409692593,5.251066622907778,2.297341647522153,1.203369434416366
9,E02000011,78,94,98,2,11,20,45,8,0,4,4,21,57,20,13,0.02040816326530612,0.11224489795918367,0.20408163265306123,0.0,0.45918367346938777,0.08163265306122448,0.05128205128205128,0.05128205128205128,0.2692307692307692,0.7307692307692307,0.2564102564102564,0.16666666666666666,E02000011,7014,13.401767892785857,0.285143997718848,1.568291987453664,2.8514399771884804,0.0,6.41573994867408,0.570287995437696,0.570287995437696,2.9940119760479043,8.12660393498717,2.8514399771884804,1.8534359851725122
10,E02000012,98,143,123,0,10,19,70,11,0,5,5,32,67,33,19,0.0,0.08130081300813008,0.15447154471544716,0.0,0.5691056910569106,0.08943089430894309,0.05102040816326531,0.05102040816326531,0.32653061224489793,0.6836734693877551,0.336734693877551,0.19387755102040816,E02000012,11375,12.571428571428571,0.0,0.8791208791208791,1.6703296703296704,0.0,6.153846153846154,0.43956043956043955,0.43956043956043955,2.813186813186813,5.8901098901098905,2.901098901098901,1.6703296703296704
11,E02000013,79,122,99,0,3,27,54,10,0,5,5,27,53,18,15,0.0,0.030303030303030304,0.2727272727272727,0.0,0.5454545454545454,0.10101010101010101,0.06329113924050633,0.06329113924050633,0.34177215189873417,0.6708860759493671,0.22784810126582278,0.189873417721519,E02000013,9009,13.542013542013542,0.0,0.333000333000333,2.997002997002997,0.0,5.994005994005994,0.555000555000555,0.555000555000555,2.997002997002997,5.883005883005883,1.998001998001998,1.665001665001665
